equipo_id,equipo,codigo,pais,escudo_url
758,Uruguay,URY,Uruguay,https://crests.football-data.org/758.svg
759,Germany,GER,Germany,https://crests.football-data.org/759.svg
760,Spain,ESP,Spain,https://crests.football-data.org/760.svg
761,Paraguay,PAR,Paraguay,https://crests.football-data.org/761.svg
762,Argentina,ARG,Argentina,https://crests.football-data.org/762.png
763,Ghana,GHA,Ghana,https://crests.football-data.org/ghana.svg
764,Brazil,BRA,Brazil,https://crests.football-data.org/764.svg
765,Portugal,POR,Portugal,https://crests.football-data.org/765.svg
766,Japan,JPN,Japan,https://crests.football-data.org/766.svg
769,Mexico,MEX,Mexico,https://crests.football-data.org/769.svg
770,England,ENG,England,https://crests.football-data.org/770.svg
771,United States,USA,United States,https://crests.football-data.org/usa.svg
772,South Korea,KOR,South Korea,https://crests.football-data.org/772.png
773,France,FRA,France,https://crests.football-data.org/773.svg
774,South Africa,RSA,South Africa,https://crests.football-data.org/9396.svg
778,Algeria,ALG,Algeria,https://crests.football-data.org/algeria.svg
779,Australia,AUS,Australia,https://crests.football-data.org/779.svg
783,New Zealand,NZL,New Zealand,https://crests.football-data.org/783.svg
788,Switzerland,SUI,Switzerland,https://crests.football-data.org/788.svg
791,Ecuador,ECU,Ecuador,https://crests.football-data.org/791.svg
792,Sweden,SWE,Sweden,https://crests.football-data.org/792.svg
798,Czechia,CZE,Czech Republic,https://crests.football-data.org/798.svg
799,Croatia,CRO,Croatia,https://crests.football-data.org/799.svg
801,Saudi Arabia,KSA,Saudi Arabia,https://crests.football-data.org/saudi_arabia.svg
802,Tunisia,TUN,Tunisia,https://crests.football-data.org/tunisia.svg
803,Turkey,TUR,Turkey,https://crests.football-data.org/803.svg
804,Senegal,SEN,Senegal,https://crests.football-data.org/senegal.svg
805,Belgium,BEL,Belgium,https://crests.football-data.org/805.svg
815,Morocco,MAR,Morocco,https://crests.football-data.org/morocco.svg
816,Austria,AUT,Austria,https://crests.football-data.org/816.svg
818,Colombia,COL,Colombia,https://crests.football-data.org/818.svg
825,Egypt,EGY,Egypt,https://crests.football-data.org/825.svg
828,Canada,CAN,Canada,https://crests.football-data.org/canada.svg
836,Haiti,HAI,Haiti,https://crests.football-data.org/haiti.svg
840,Iran,IRN,Iran,https://crests.football-data.org/iran.svg
1060,Bosnia-Herzegovina,BIH,Bosnia and Herzegovina,https://crests.football-data.org/bosnia.svg
1836,Panama,PAN,Panama,https://crests.football-data.org/panama.svg
1930,Cape Verde Islands,CPV,Cape Verde Islands,https://crests.football-data.org/cape_verde.svg
1934,Congo DR,COD,Congo DR,https://crests.football-data.org/congo_dr.svg
1935,Ivory Coast,CIV,Ivory Coast,https://crests.football-data.org/787.svg
8030,Qatar,QAT,Qatar,https://crests.football-data.org/8030.svg
8049,Jordan,JOR,Jordan,https://crests.football-data.org/8049.png
8062,Iraq,IRQ,Iraq,https://crests.football-data.org/iraq.svg
8070,Uzbekistan,UZB,Uzbekistan,https://crests.football-data.org/8070.png
8601,Netherlands,NED,Netherlands,https://crests.football-data.org/8601.svg
8872,Norway,NOR,Norway,https://crests.football-data.org/813.svg
8873,Scotland,SCO,Scotland,https://crests.football-data.org/814.svg
9460,Curaçao,CUW,Curaçao,https://crests.football-data.org/curacao.svg
